"Begrip","Betekenis","Verwijzing","Woordenboek",,,,,
"OSI Model","Open Systems Interconnection Model. Referentiemodel dat is ontwikkeld vanuit ISO. Het doel van dit model is een open communicatie tussen verschillende technische systemen.",,"INFOSEC",,,,,
"OSINT","Afkorting van Open Source INTelligence.","Open Source Intelligence","INFOSEC",,,,,
"OT","Afkorting van Operational Technology of
Operations Technology.","Operational Technology","INFOSEC",,,,,
"OTP","Afkorting van One Time Password. Een eenmalig wachtwoord of one-time password is een wachtwoord dat bij elk gebruik wijzigt met doel het moeilijker te maken ongeautoriseerd toegang te krijgen tot vertrouwelijke digitale bronnen zoals een computeraccount.",,"INFOSEC",,,,,
"OWASP Top 10","Project van Open Web Application Security Project (\href{https://owasp.org/}{OWASP}). In de OWASP top 10 staan de 10 grootste risico’s op het gebied van beveiliging van webapplicaties. De OWASP top 10 wordt periodiek herzien.",,"INFOSEC",,,,,
"Packet Capture","Bestand met een exacte kopie van gegevens die door een netwerk zijn gegaan.",,"INFOSEC",,,,,
"Parameter","Een parameter is een variable van een bepaald type die kan worden veranderd of worden gebruikt in bewerkingen en berichten, zoals x in een formule. Als de parameter een waarde krijgt, krijgt ook de uitkomst van de formule een waarde.",,"INFOSEC",,,,,
"Password",,"Wachtwoord","INFOSEC",,,,,
"Patch","Nieuwe versie van software. In deze nieuwe versie heeft de leverancier kwetsbaarheden in het systeem hersteld. Hij heeft geen nieuwe functies toegevoegd.","Update","INFOSEC",,,,,
"Patch management","Proces waarbij men regelmatig patches installeert op een digitaal systeem.",,"INFOSEC",,,,,
"Path traversal","Aanval via een website, met als doel om bij bestanden en mappen te komen waar men niet bij mag. De aanvaller kan de website manipuleren door bepaalde invoer te sturen. Zo kan hij een pad volgen naar een bestand of map waar hij niet bij mag. ","Directory traversal","INFOSEC",,,,,
"Payload","Het onderdeel van malware dat de echte kwaadaardige actie uitvoert, zoals het stelen van gegevens of het vernielen van een systeem.","Malware","INFOSEC",,,,,
"PCAP","Afkorting van Packet Capture","Packet capture","INFOSEC",,,,,
"PCI","Payment Card Industry. De branche die ervoor zorgt dat men geld kan pinnen en elektronisch kan betalen. Bijvoorbeeld door pinautomaten, kassasystemen en creditcards te leveren. En de elektronische verbindingen tussen deze systemen.","PCI-DSS","INFOSEC",,,,,
"PCI-DSS","Payment card industry data security standard. Standaardregels voor de betaalindustrie, met als doel om gegevens van bankpassen en creditcards te beschermen. De regels gelden voor alle organisaties die gegevens van kaarthouders opslaan, verwerken of versturen. De regels gaan over eisen voor het technische systeem waarin men gegevens van de kaarthouder opslaat. En over eisen voor het verwerken en versturen van deze gegevens.",,"INFOSEC",,,,,
"Penetratietest","Handmatige controle waarbij men zo diep mogelijk wil binnendringen in een systeem om zwakke plekken te vinden en de gevolgen hiervan te kennen. Men gebruikt de zwakke plekken om nog wat dieper in het systeem te komen. Doel van de test is niet om zoveel mogelijk zwakke plekken te vinden. Dat gebeurt wel bij een vulnerability scan. ",,"INFOSEC",,,,,
"Pentest",,"Penetratietest","INFOSEC",,,,,
"Persoonsgegeven","In de Algemene Verordening Gegevensbescherming (AVG) is een persoonsgegeven in artikel 4, eerste lid gedefinieerd als alle informatie over een geïdentificeerde of identificeerbare natuurlijke persoon („de betrokkene”); als identificeerbaar wordt beschouwd een natuurlijke persoon die direct of indirect kan worden geïdentificeerd, met name aan de hand van een identificator zoals een naam, een identificatienummer, locatiegegevens, een online identificator of van een of meer elementen die kenmerkend zijn voor de fysieke, fysiologische, genetische, psychische, economische, culturele of sociale identiteit van die natuurlijke persoon;",,"INFOSEC, LEGAL",,,,,
"PGP","Pretty Good Privacy. Een standaardmanier om informatie onleesbaar voor anderen te maken met gebruik van zowel symmetrische als asymmetrische versleuteling. Men gebruikt hierbij 2 verschillende formules: \newline - een om de tekst om te zetten in een code. \newline – en een om de code weer terug te zetten in tekst. Whatsapp maakt gebruik van PGP.","Cryptografie","INFOSEC",,,,,
"Phishing","Aanval waarbij de aanvaller iemand verleidt om belangrijke informatie te geven, zoals bijvoorbeeld inloggegevens of creditcardgegevens. Phishing gebeurt vaak via e-mails. Maar aanvallers doen het ook via de telefoon, een sms of een app-bericht.",,"INFOSEC",,,,,
"PIA","Afkorting van Privacy Impact Assessment.","Privacy Impact Assessment","INFOSEC",,,,,
"PII","Afkorting van Personally Identifiable
Information.","Persoonsgegevens","INFOSEC",,,,,
"PKI","Afkorting van Public Key Infrastructure","Public Key Infrastructure","INFOSEC",,,,,
"Poortscan","Scan van openstaande poorten op een digitaal systeem waarmee inzichtelijk wordt gemaakt welke poorten openstaan. Een poort is een manier om via een netwerk te communiceren met een digitaal systeem. Aanvallers gebruiken de informatie uit de poortscan om te beslissen hoe zij het systeem kunnen binnendringen of beschadigen.",,"INFOSEC",,,,,
"Port scan",,"Poortscan","INFOSEC",,,,,
"Post-quantum crypto","Vorm van versleuteling die niet te kraken is met kwantumcomputers.","Kwantum Computer","INFOSEC",,,,,
"Post-quantum key exchange","Afspraken over hoe je sleutels uitwisselt. Het gaat om sleutels die niet te kraken zijn met kwantumcomputers.","Cryptografie, kwantum computing","INFOSEC",,,,,
"Privacy by Default","Standaardinstellingen van een product, dienst of systeem zodanig maken, dat ze een zo groot mogelijke privacy garanderen. ","AVG","INFOSEC",,,,,
"Privacy by Design","Eigenschap van een product, dienst of systeem. Bij de ontwikkeling en het ontwerp ervan heeft men zoveel mogelijk rekening gehouden met privacy.","AVG","INFOSEC",,,,,
"Data Protection Impact Assessment","Onderzoek waarmee een organisatie inzicht krijgt in de privacyrisico’s. De Algemene Verordening Gegevensbescherming verplicht organisaties soms om dit onderzoek uit te voeren. Die heet dan een Data Privacy Assessment of een gegevensbeschermingseffectbeoordeling.",,"INFOSEC",,,,,
"Privacy Impact Assessment",,"Data Protection Impact Assessment","INFOSEC",,,,,
"Private key","Sleutel die men gebruikt om te versleutelen en ontsleutelen wanneer er gebruik gemaakt wordt gemaakt van asymmetrische versleuteling. Het is van belang dat deze sleutel geheim wordt gehouden.","Public key, versleutelen, assymetrische crypto","INFOSEC",,,,,
"Privilege escalation","Aanvalsmethode waarbij men zwakke plekken in een digitaal systeem gebruikt. Zo zorgt de aanvaller dat hij rechten krijgt om op plekken in het digitale systeem te komen, waar hij niet zou mogen komen.",,"INFOSEC",,,,,
"Privileged account","Account op een digitaal systeem dat meer rechten geeft om bepaalde dingen te doen. Bijvoorbeeld be - standen en instellingen veranderen. In Windows - systemen heet dit account de administrator. In Unix en Linuxsystemen de root.",,"INFOSEC",,,,,
"Profilering","In de Algemene Verordening Gegevensbescherming (AVG) is profilering in artikel 4, vierde  lid gedefinieerd als : elke vorm van geautomatiseerde verwerking van persoonsgegevens waarbij aan de hand van persoonsgegevens bepaalde persoonlijke aspecten van een natuurlijke persoon worden geëvalueerd, met name met de bedoeling zijn beroepsprestaties, economische situatie, gezondheid, persoonlijke voorkeuren, interesses, betrouwbaarheid, gedrag, locatie of verplaatsingen te analyseren of te voorspellen.",,"INFOSEC, LEGAL",,,,,
"Proxies","Alle niet-statelijke actoren (non-state actors) die na - mens een staat cyberaan - vallen uitvoeren op of via het internet. Soms erkent een staat deze proxies, maar vaak ook niet.",,"INFOSEC",,,,,
"Kinderporno","Wanneer er een afbeelding - of een gegevensdrager is met een afbeelding - van een seksuele gedraging, waarbij iemand die kennelijk de leeftijd van achttien jaar nog niet heeft bereikt, is betrokken of schijnbaar is betrokken, verspreidt, aanbiedt, openlijk tentoonstelt, vervaardigt, invoert, doorvoert, uitvoert, verwerft, in bezit heeft of zich door middel van een geautomatiseerd werk of met gebruikmaking van een communicatiedienst de toegang daartoe verschaft. een afbeelding - van een seksuele gedraging, waarbij iemand die kennelijk de leeftijd van achttien jaar nog niet heeft bereikt, is betrokken of schijnbaar is betrokken, verspreidt, aanbiedt, openlijk tentoonstelt, vervaardigt, invoert, doorvoert, uitvoert, verwerft, in bezit heeft of zich door middel van een geautomatiseerd werk of met gebruikmaking van een communicatiedienst de toegang daartoe verschaft.",,"INFOSEC",,,,,
"Belediging","Een belediging is een krenkende uiting die iemands eer of goede naam kan aantasten.",,"INFOSEC",,,,,
"Pseudonimisering","In de Algemene Verordening Gegevensbescherming (AVG) is pseudonimisering in artikel 4, vijfde lid gedefinieerd als : het verwerken van persoonsgegevens op zodanige wijze dat de persoonsgegevens niet meer aan een specifieke betrokkene kunnen worden gekoppeld zonder dat er aanvullende gegevens worden gebruikt, mits deze aanvullende gegevens apart worden bewaard en technische en organisatorische maatregelen worden genomen om ervoor te zorgen dat de persoonsgegevens niet aan een geïdentificeerde of identificeerbare natuurlijke persoon worden gekoppeld.",,"INFOSEC",,,,,
"Public Key ","Sleutel die men gebruikt om te versleutelen en ontsleutelen wanneer er gebruik gemaakt wordt gemaakt van asymmetrische versleuteling. Deze sleutel is openbaar, in tegenstelling tot de private key.","Private key, versleutelen, assymetrische crypto","INFOSEC",,,,,
"Public Key Infrastructure","Alle rollen, regels en procedures die nodig zijn om verantwoord om te gaan met digitale certificaten. Men gebruikt de certificaten bijvoorbeeld om teksten via asymmetrische versleuteling onleesbaar te maken voor anderen of bij authenticatie.","Public key, private key, versleutelen","INFOSEC",,,,,
"Purple teaming",,"Adversary simulation","INFOSEC",,,,,
"Quantem Computer",,"Kwantumcomputer","INFOSEC",,,,,
"Rainbow table","Tabel met mogelijke wachtwoorden en de versleutelde versies van deze wachtwoorden. Men gebruikt de tabel om te testen of wachtwoorden veilig zijn, of om ze te kraken. Deze techniek is veel efficiënter dan een brute force-aanval. ","Brute force","INFOSEC",,,,,
"Random","In de informatiebeveiliging is dit een willekeurig getal dat niet te voorspellen is. ",,"INFOSEC",,,,,
"Ransomware",,"Gijzelsoftware","INFOSEC",,,,,
"RAT","Remote Access Trojan. Kwaadaardige software waarmee een aanvaller een digitaal systeem kan besturen. Bijvoorbeeld vastleggen wat iemand typt, de webcam aanzetten, gegevens op een digitaal systeem wissen, of contact maken met internet.",,"INFOSEC",,,,,
"Rate-limit","Methode om netwerkverkeer te beperken of om te beperken hoe vaak een actie mag worden uitgevoerd binnen een bepaalde tijd. Bijvoorbeeld beperking van het aantal inlogpogingen dat een gebruiker binnen korte tijd kan doen.",,"INFOSEC",,,,,
"RBAC","Afkorting van Role Based Access Control","Role Based Access Control","INFOSEC",,,,,
"Recovery",,"Disaster recovery","INFOSEC",,,,,
"Red Team",,"Adversary simulation","INFOSEC",,,,,
"Reliability",,"Betrouwbaarheid","INFOSEC",,,,,
"Remote Access",,"Mogelijkheid om van buitenaf in een computernetwerk te komen. Bijvoorbeeld in een bedrijfsnetwerk, zodat je thuis kunt werken.","INFOSEC",,,,,
"Resilience",,"Cyberweerbaarheid","INFOSEC",,,,,
"Responsible disclosure","Actie waarbij men gevonden beveiligingslekken op een verantwoorde manier bekend maakt. Meestal meldt men het lek eerst bij de eigenaar van het systeem waar het is gevonden. De eigenaar heeft regels over wat er daarna gebeurt. \newline Wordt het systeem meteen aangevallen via dit lek? Dan meldt de onderzoeker het lek bij de maker van het systeem of de software. Als het lek gedicht is, krijgt de bredere security community dit te horen. Melders van een lek krijgen meestal geen geld. Maar vaak krijgen ze wel een cadeautje. Of hun naam komt in een Hall of Fame.","Coordinated Vulnerability Disclosure","INFOSEC",,,,,
"Rest risico",,"Netto risico","INFOSEC",,,,,
"Reverse engineering","Hardware of software onderzoeken om te snappen hoe deze precies werken. De onderzoeker weet van tevoren niet hoe de software of hardware ontworpen is. Bijvoorbeeld het onderzoeken van malware om de eaxacte werking te achterhalen.",,"INFOSEC",,,,,
"Risico","Kans op schade of verlies in een computersysteem, gecombineerd met de gevolgen die deze schade heeft voor de organisatie. Een voorbeeld van schade kan bijvoorbeeld zijn dat mensen informatie zien die ze niet hadden mogen zien. Of dat men niet meer zeker weet of gegevens nog kloppen. Bij gevolgen voor de organisatie kan men denken aan financiële schade of het verlies van de goede naam van de organisatie.","Dreiging, Threat","INFOSEC",,,,,
"Risico identificatie","Het in kaart brengen van de mogelijke risico’s waaraan een organisatie of systeem is blootgesteld.",,"INFOSEC",,,,,
"Risico-inventarisatie","Systematische beschrijving van alle risico’s die een bedrijf loopt. Vaak doet men dit als onderdeel van risicomanagement. Of voordat men een verzekering afsluit.","Bedrijfsrisico","INFOSEC",,,,,
"Risicoanalyse","Methode om inzicht te krijgen in de risico’s die je loopt. De onderzoeker kijkt daarbij onder andere naar het volgende: \newline - hoe groot is de kans dat iets gebeurt? \newline – hoe groot zijn de gevolgen als dat gebeurt?",,"INFOSEC",,,,,
"Risicobeheersing",,"Risicomanagement","INFOSEC",,,,,
"Risicobereidheid","Hoeveel risico iemand wil nemen om iets te kunnen bereiken.","Mitigatie","INFOSEC",,,,,
"Risk appetite",,"Risicobereidheid","INFOSEC",,,,,
"Risicofactor","Al die dingen die de kans vergroten op schade aan mensen, organisaties, staten of digitale (genetwerkte) systemen. Of die de gevolgen van schade daarvan verergeren.",,"INFOSEC",,,,,
"Risicomanagement","Een continu proces waarbij bedrijfsrisico’s voortdurend worden bewaakt. Onderdelen van dit proces zijn bijvoorbeeld het identificeren, evalueren, prioriteren van risico’s en het nemen van maatregelen (accepteren, mitigeren, overdragen of vermijden). ","Bedrijfsrisico, risicoanalyse, risicomitigatie","INFOSEC",,,,,
"Risicomitigatie","Alle dingen die een organisatie doet om risico’s te verkleinen of helemaal te laten verdwijnen. Grijpt een organisatie in, dan kan dat twee doelen hebben: - de kans op een incident verkleinen. - de gevolgen verkleinen als dat incident toch plaatsvindt.",,"INFOSEC",,,,,
"Risiconiveau",,"Risicoprofiel","INFOSEC",,,,,
"Risicoperceptie","De manier waarop risico’s worden geïnterpreteerd en gewaardeerd. Vaak hebben experts een heel andere risicoperceptie dan leken ten aanzien van hetzelfde risico. Beslissers moeten zich bewust zijn van de beleving van risico’s bij het nemen van beslissingen.",,"INFOSEC",,,,,
"Risicoprofiel","Overzicht van alle risico’s van een organisatie, project, proces of programma. Een risicoprofiel laat zien welke risico’s er zijn, inclusief kans van optreden en de gevolgen.",,"INFOSEC",,,,,
"Risk appetite",,"Risicobereidheid","INFOSEC",,,,,
"Role based access control","Bepalen of een gebruiker bij een computersysteem mag komen. Men kijkt daarbij naar de rol die de gebruiker of een groep gebruikers heeft. Voorbeel - den van rollen zijn viewer, editor en manager.",,"INFOSEC",,,,,
"Root cause analyses","Onderzoek naar de belang - rijkste oorzaken van een beveiligingsincident, zoals een datalek.",,"INFOSEC",,,,,
"Rootkit","Malware die een aanvaller gebruikt als hij eenmaal toegang heeft tot een com - putersysteem. De rootkit zit zo diep in het systeem dat het lange tijd ongemerkt in het computersysteem kan blijven zitten. De root - kit kan ook een geheime toegang tot het systeem maken.",,"INFOSEC",,,,,
"Rule based detection","Methode om een cyberaan - val te ontdekken. Van tevoren bepaalt men welke patronen of tekens in data op een netwerk verdacht kunnen zijn. Daarna zoekt het systeem naar deze patronen of tekens.",,"INFOSEC",,,,,
"S/MIME","Secure/Multipurpose Inter - net Mail Extensions. Tech - niek waarbij men e-mails omzet in code met een openbare sleutel en een privésleutel. De openbare sleutel deelt men met el - kaar via een certificaat. ",,"INFOSEC",,,,,
"Sandbox","Afgeschermd deel in een digitaal systeem. Software die op deze plek werkt, kan geen andere processen in de computer verstoren. Men gebruikt vaak een sandbox om software in te draaien die vaak aangevallen worden. Of om te testen of iets malware is en wat het dan doet.",,"INFOSEC",,,,,
"SAST","Static Application Security Testing. Techniek waarmee men automatisch zwakke plekken in een broncode kan controleren.",,"INFOSEC",,,,,
"SCADA","Supervisory Control and Data Acquisition. Meetsignalen en regelsignalen van machines in grote industriële systemen verzamelen, doorsturen, verwerken en zichtbaar maken. Bijvoorbeeld van windturbines.",,"INFOSEC",,,,,
"Screening","De integriteit van een persoon onderzoeken. Een werkgever kan dit doen als hij iemand wil aannemen voor een functie waarin integriteit extra belangrijk is. De werkgever vraagt informatie op over de persoon. Daarmee schat de werkgever in hoe integer deze persoon is. Screening mag alleen als je voldoet aan voorwaarden die staan in de wet: de Algemene Verordening Gegevensbescherming, de Uitvoeringswet Algemene Verordening Gegevensbescherming en de Wet veiligheidsonderzoeken.",,"INFOSEC",,,,,
"Script","Computerprogramma met instructies die voor mensen leesbaar zijn. Men ge - bruikt vaak scripts als men webapplicaties wil bouwen en beheren. Aanvallers gebruiken onder andere scripts om onderdelen van een cyberaanval te automa - tiseren.",,"INFOSEC",,,,,
"Script kiddie","Iemand die cyberaanvallen doet voor de lol. Of omdat hij wil laten zien dat een site of computernetwerk kwetsbaar is. Vaak zijn het jonge hackers die niet goed snappen wat de gevolgen kunnen zijn van hun acties. Ook weten zij vaak niet heel veel, en gebruiken ze hulp - middelen van anderen.",,"INFOSEC",,,,,
"Scrubbing","Gegevens filteren die naar een systeem gaan. Doel is onder andere om te zorgen dat DDoS-aanvallen niet succesvol kunnen zijn of om DDoS-aanvallen on - schadelijk te maken.",,"INFOSEC",,,,,
"Secure coding","Een gestructureerde aan - pak om software te ontwik - kelen. Doel is om software te maken die minder bevei - ligingslekken bevat.",,"INFOSEC",,,,,
"Secure development lifecycle","Proces waarin men kijkt wat de beste beveiligingsmethode is voor een reeks producten of toepassingen. Daarna wordt deze methode de standaardmethode. Het doel is in iedere fase van de ontwikkeling van een product te kijken naar de veiligheid. Microsoft heeft dit ontwikkeld in 2002. Verschillende organisaties gebruiken nu SDL. Soms een eigen versie ervan. ",,"INFOSEC",,,,,
"Secure Sockets Layer","SSL. Verouderd model om communicatie tussen computers onleesbaar te maken voor anderen. In 2014 werd bekend dat er een beveiligingslek in dit model zit. Nu vindt men dit model niet meer veilig. De opvolger is TLS: Transport Layer Security.",,"INFOSEC",,,,,
"SSL","Afkorting van Secure Sockets Layer","Secure Sockets Layer","INFOSEC",,,,,
"Security",,"Beveiliging","INFOSEC",,,,,
"Security advisory","1. Berichten van onderzoekers of leveranciers van software, waarin zij beschrijven waar zwakke plekken in software zitten. Gebruikers of beheerders kunnen dan het probleem oplossen of verkleinen. Men maakt vaak zo’n bericht als deze zwakke plekken staan in de lijst met Common Vulnerabilities and Exposures (CVE). Dit is is een databank met informatie over kwetsbaarheden in computersystemen en netwerken. \newline 2. Adviesdiensten op het gebied van informatiebeveiliging en cybersecurity.","CVE","INFOSEC",,,,,
"Security awareness",,"Beveiligingsbewustzijn","INFOSEC",,,,,
"Security by default","Aanduiding dat de maker of leverancier van een product ervoor zorgt het dat product standaard veilig is ingesteld. Degene die het product koopt of in gebruik neemt kan daar zelf wijzigingen in aanbrengen. Dit is in tegenstelling tot de situatie waarin een maker of leverancier van een product weinig of niks aan beveiliging doet. Degene die het product koopt of in gebruikt neemt is er dan helemaal zelf verantwoordelijk voor om het veilig in te stellen.",,"INFOSEC",,,,,
"Security by design","Een product, dienst of systeem ontwerpen en vanaf het begin ook de beveiliging mee ontwikkelen en testen. ",,"INFOSEC",,,,,
"Security Information and Event Management","SIEM. Systeem waarin men informatie uit computersystemen verzamelt en analyseert. Het doel is om verdacht gedrag te ontdekken. Of zien dat iemand dingen in het systeem heeft veranderd, terwijl hij dat niet mocht. ",,"INFOSEC",,,,,
"Security monitoring","Continu bewaken van een computer of digitaal netwerk met als doel om verdacht gedrag op te sporen.",,"INFOSEC",,,,,
"Security Operations Center","Afdeling of team dat informatiesystemen controleert of bewaakt. Dit doen zij voor de eigen organisatie of voor klanten.",,"INFOSEC",,,,,
"Security rating","Score die aangeeft hoe goed een persoon, netwerk of computer beveiligd is. Deze score wordt vaak automatisch berekend. Het helpt organisaties om te weten waar er risico’s zijn. ",,"INFOSEC",,,,,
"Security scan",,"Vulnerability scan","INFOSEC",,,,,
"Security standaarden","Standaarden voor veiligheid die belangrijk zijn binnen de cybersecurity. Bijvoorbeeld over wat te doen om informatie te beveiligen. Voorbeelden zijn: ISO 2700x, NEN 7510, BIO, SOC1-2-3, ISAE3402 en PCI-DSS.",,"INFOSEC",,,,,
"Security test","Algemene naam voor testen die zijn bedoeld om zwakke plekken in een systeem te vinden. Geautomatiseerde scans horen hier niet bij. ",,"INFOSEC",,,,,
"Security through obscurity","Security through obscurity is een beginsel uit de beveiliging. Men beoogt daarmee beveiligingsrisico\\'s te beperken door (de werking van) beveiligingsmaatregelen geheim te houden. De achterliggende gedachte is, dat als het beveiligingsmechanisme niet bekend is, de beveiliging moeilijk door derden kan worden doorbroken. Geheimhouding van de beveiligingsmethode mag nooit het enige beveiligingsmechanisme zijn. \newline In de praktijk lekken de geheimen over de beveiligingstechniek op een gegeven moment toch uit, bijvoorbeeld doordat individuen onzorgvuldig met de geheimen omgaan of bewust proberen het systeem te kraken. \newline Uit commerciële overwegingen kan ""security through obscurity"" aantrekkelijk zijn, zoals het bezit van andere bedrijfsgeheimen dat ook kan zijn. Een voordeel is verder dat, mochten er zwakke plekken in het systeem zitten, het product pas dan niet meer verkocht kan worden, wanneer die algemeen bekend zijn geworden.  ","Obfuscation","INFOSEC",,,,,
"Segegration of duties",,"Functiescheiding","INFOSEC",,,,,
"Service account",,"Niet persoonsgebonden account","INFOSEC",,,,,
"Severity","Hoe ernstig een zwakke plek van een digitaal systeem is. ",,"INFOSEC",,,,,
"Shell","Computerprogramma waarmee een gebruiker met een commandoregel opdrachten kan geven aan het besturingssysteem van een computer. ",,"INFOSEC",,,,,
"Side channel attack","Aanval die iemand uitvoert met informatie over de werking van een digitaal systeem. Denk aan timing, stroomverbruik of elektromagnetische lekken en niet aan normale beveiligingslekken. Het is informatie die in eerste instantie misschien niet nuttig lijkt maar die toch gebruikt kan worden om bijvoorbeeld uit het systeem te stelen.",,"INFOSEC",,,,,
"SIEM","Afkorting van Security and Event Monitoring","Security and Event Monitoring","INFOSEC",,,,,
"SIGINT","Signal Intelligence. Informatie verzamelen door signalen van elektronische communicatiekanalen op te vangen.",,"INFOSEC",,,,,
"Signature","1. Een specifiek patroon waaraan of waarmee men een cyberaanval kan herkennen. \newline 2. Digitale handtekening.",,"INFOSEC",,,,,
"Signature based detection","Een techniek waarmee men aanvallen opspoort met hulp van vooraf afgesproken patronen, instructieregels of tekens.",,"INFOSEC",,,,,
"Signing",,"Digitale Handtekening","INFOSEC",,,,,
"Single sign on","Eindgebruikers loggen één keer in en kunnen daarna in verschillende applicaties en onderdelen van het netwerk werken. Ze hoeven dus niet meer elke keer opnieuw inloggegevens in te voeren. Bij SSO vertrouwt het systeem erop dat een ander systeem de identiteit van de gebruiker juist heeft vastgesteld en dat dit dus niet steeds opnieuw nodig is. ",,"INFOSEC",,,,,
"Situational Awareness","Het hebben van een overzicht van de (relevante) informatie en elementen binnen een ecosysteem, zodat goede voorspellingen kunnen worden gemaakt over risico’s en dreigingen.",,"INFOSEC",,,,,
"Skimmen","De gegevens van een bankpas of creditcard illegaal kopiëren. Als de eigenaar met de pas betaalt of geld pint, kopieert de crimineel de magneetstrip.",,"INFOSEC",,,,,
"Smart blockchain","Nieuwe term die geen zinvolle betekenis heeft.",,"INFOSEC",,,,,
"Sniffen","De informatie die in een computernetwerk rondgaat, afluisteren en analyseren.",,"INFOSEC",,,,,
"SOC","Afkorting van Security Operations Center","Security Operations Center","INFOSEC",,,,,
"Social Engineering","Social engineering is een techniek waarbij een computerkraker een aanval op computersystemen tracht te ondernemen door de zwakste schakel in de computerbeveiliging, namelijk de mens, te kraken. Computerkrakers maken hierbij gebruik van menselijke eigenschappen zoals nieuwsgierigheid, vertrouwen, hebzucht, angst en onwetendheid. De aanval is gericht op het verkrijgen van vertrouwelijke of geheime informatie, waarmee de hacker dichter bij het aan te vallen object kan komen.",,"INFOSEC",,,,,
"Source code",,"Broncode","INFOSEC",,,,,
"SPAM","E-mails of andere elektronische berichten waar de ontvanger niet om heeft gevraagd en die hij ook niet wil ontvangen.",,"INFOSEC",,,,,
"Spear phishing","Een phishingaanval die gericht is op een bepaald persoon. Soms is de aanval ook speciaal aangepast voor deze persoon. Daardoor is het heel moeilijk om te herkennen dat het een phishingaanval is.","Phishing","INFOSEC",,,,,
"SPF","Sender Policy Framework. SPF is een techniek waarmee een domeinhouder de IP-adressen van verzendende mailservers kan publiceren in de DNS. Een ontvangende mailserver kan deze IP-adressen gebruiken om te controleren of een e-mail daadwerkelijk afkomstig is van een verzendende mailserver van de betreffende domeinhouder. Het gebruik van SPF verkleint de kans op misbruik van e-mailadressen doordat ontvangers betrouwbaar echte e-mails van phishingmails of spam kunnen onderscheiden.",,"INFOSEC",,,,,
"Spoofing","Iemand misleiden door te doen alsof je iemand anders bent. Er zijn veel soorten spoofing. Een aanvaller kan zich in een email voordoen als een ander door het afzendadres te vervalsen.",,"INFOSEC",,,,,
"Spyware","Vorm van malware. Spyware is software waarmee men ongemerkt informatie verzamelt en doorstuurt naar een ander. Bij de informatie gaat het om toetsaanslagen, screenshots, e-mailadressen, surfgedrag of persoonlijke informatie zoals inloggegevens of een creditcardnummer. ","Malware","INFOSEC",,,,,"t"
"SSL","Afkorting van Secure Sockets Layer","Secure Sockets Layer","INFOSEC",,,,,
"SSO","Afkorting van Single Sign On","Single Sign On","INFOSEC",,,,,
"State Actor","Engels voor statelijke actor","Statelijke actor","INFOSEC",,,,,
"Statelijke Actor","Statelijke actor, dat wil zeggen een land. Term wordt veel gebruikt in de context van nationale veiligheid en in geopolitieke discussies over cybersecurity.",,"INFOSEC",,,,,
"State-sponsored attack","Cyberaanval die een staat financiert of op een andere manier ondersteunt.",,"INFOSEC",,,,,
"Stepping stone server","Beveiligde manier om in een digitaal netwerk te komen. Dit wordt ook wel een jumpserver genoemd.",,"INFOSEC",,,,,
"Storing",,"Uitval","INFOSEC",,,,,
"Supply chain attack","Een aanval waarbij een aanvaller een organisatie niet rechtstreeks aanvalt, maar via één van de leveranciers. Hierdoor is het mogelijk om organisaties die zelf een goede beveiliging hebben, toch succesvol aan te vallen.",,"INFOSEC",,,,,
"Swag","Goodies die hackers krijgen om ze te bedanken voor hun gratis hulp om een informatiesysteem te beveiligen. Een bekend voorbeeld is een T-shirt met de tekst ‘’ I hacked…. and all I got was this lousy t-shirt’. ",,"INFOSEC",,,,,
"Symmetrische versleuteling","Informatie onbegrijpelijk maken voor anderen. Bijvoorbeeld een tekstbestand of netwerkverkeer. Dit wordt gedaan met één sleutel, in tegenstelling tot asymmetrische versleuteling waarbij twee sleutels worden gebruikt. De ontvanger en verzender hebben dus allebei dezelfde sleutel. De informatie wordt onleesbaar gemaakt door de zender waarna de ontvanger deze weer leesbaar maakt, beide dus met dezelfde sleutel. Ze moeten deze sleutel op een vertrouwelijke manier met elkaar delen (bijvoorbeeld met behulp van asymmetrische versleuteling).","Versleuteling","INFOSEC",,,,,
"Tabletop exercise","Oefening waarbij een groep mensen in een kamer een bepaald incident na speelt. De deelnemers zoeken samen naar een oplossing.",,"INFOSEC",,,,,
"Tampering","Een digitaal systeem of informatie beschadigen door met opzet informatie, hardware en software te veranderen. Bijvoorbeeld een mail veranderen en versturen.",,"INFOSEC",,,,,
"Testbed","Nagemaakte situatie waarin men testen kan doen. ",,"INFOSEC",,,,,
"Threat","Iets wat gevaar of schade kan opleveren voor een organisatie. Bijvoorbeeld een storing, reputatieschade of financieel verlies. ","Dreiging","INFOSEC",,,,,
"Threat actor",,"Actor","INFOSEC",,,,,
"Threat hunting","Een veelal handmatig proces waarin men in netwerkverkeer of op digitale systemen zoekt naar sporen van aanvallen die bestaande beveiligingsmaatregelen hebben omzeild. ","Hunting","INFOSEC",,,,,
"Threat intelligence","Informatie en analyses over dreigingen. ",,"INFOSEC",,,,,
"Threat management","Aanpak om bekende en onbekende dreigingen op te sporen en tegen te gaan. Men gebruikt hiervoor een combinatie van opsporingstechnieken. ",,"INFOSEC",,,,,
"Time box","Vaste tijd waarin men bepaalde geplande activiteiten uitvoert. Is de tijd om, dan stopt het. Ook als de activiteiten nog niet klaar zijn. ",,"INFOSEC",,,,,
